variable,x,y
wc2.1_2.5m_bio_14,-10.0,0.004658271558582783
wc2.1_2.5m_bio_14,-9.64,0.004801488947123289
wc2.1_2.5m_bio_14,-9.28,0.004949098918586969
wc2.1_2.5m_bio_14,-8.92,0.005101235117763281
wc2.1_2.5m_bio_14,-8.56,0.005258035380393267
wc2.1_2.5m_bio_14,-8.2,0.00541964266449213
wc2.1_2.5m_bio_14,-7.84,0.005586202722042799
wc2.1_2.5m_bio_14,-7.48,0.005757866892963648
wc2.1_2.5m_bio_14,-7.12,0.005934790708124638
wc2.1_2.5m_bio_14,-6.76,0.006117133889347315
wc2.1_2.5m_bio_14,-6.4,0.006305061746388674
wc2.1_2.5m_bio_14,-6.04,0.006498744245618582
wc2.1_2.5m_bio_14,-5.68,0.0066983564756810665
wc2.1_2.5m_bio_14,-5.32,0.006904078181833029
wc2.1_2.5m_bio_14,-4.96,0.007116095628589392
wc2.1_2.5m_bio_14,-4.6,0.007334599737077951
wc2.1_2.5m_bio_14,-4.24,0.0075597879476845264
wc2.1_2.5m_bio_14,-3.88,0.007791861891746521
wc2.1_2.5m_bio_14,-3.5199999999999996,0.008031032048165798
wc2.1_2.5m_bio_14,-3.16,0.008277512155473232
wc2.1_2.5m_bio_14,-2.8,0.008531525731086731
wc2.1_2.5m_bio_14,-2.4400000000000004,0.008793298155069351
wc2.1_2.5m_bio_14,-2.08,0.00906306691467762
wc2.1_2.5m_bio_14,-1.7200000000000006,0.009341071359813213
wc2.1_2.5m_bio_14,-1.3599999999999994,0.009627562947571278
wc2.1_2.5m_bio_14,-1.0,0.009922797791659832
wc2.1_2.5m_bio_14,-0.6400000000000006,0.010227038525044918
wc2.1_2.5m_bio_14,-0.27999999999999936,0.010540558025240898
wc2.1_2.5m_bio_14,0.08000000000000007,0.010863635689020157
wc2.1_2.5m_bio_14,0.4399999999999995,0.01119655929505825
wc2.1_2.5m_bio_14,0.8000000000000007,0.011539626866579056
wc2.1_2.5m_bio_14,1.1600000000000001,0.011893142946064472
wc2.1_2.5m_bio_14,1.5199999999999996,0.012257421389222145
wc2.1_2.5m_bio_14,1.8800000000000008,0.012632785364985466
wc2.1_2.5m_bio_14,2.24,0.013019569218158722
wc2.1_2.5m_bio_14,2.5999999999999996,0.013418113812804222
wc2.1_2.5m_bio_14,2.960000000000001,0.01382877305150032
wc2.1_2.5m_bio_14,3.3200000000000003,0.014251910150051117
wc2.1_2.5m_bio_14,3.6799999999999997,0.014687896706163883
wc2.1_2.5m_bio_14,4.039999999999999,0.015137119218707085
wc2.1_2.5m_bio_14,4.4,0.015599971637129784
wc2.1_2.5m_bio_14,4.76,0.016076860949397087
wc2.1_2.5m_bio_14,5.119999999999999,0.016568204388022423
wc2.1_2.5m_bio_14,5.48,0.017074434086680412
wc2.1_2.5m_bio_14,5.84,0.017595993354916573
wc2.1_2.5m_bio_14,6.199999999999999,0.018133336678147316
wc2.1_2.5m_bio_14,6.559999999999999,0.01868693344295025
wc2.1_2.5m_bio_14,6.920000000000002,0.019257264211773872
wc2.1_2.5m_bio_14,7.280000000000001,0.019844824448227882
wc2.1_2.5m_bio_14,7.640000000000001,0.02045012265443802
wc2.1_2.5m_bio_14,8.0,0.021073687821626663
wc2.1_2.5m_bio_14,8.36,0.021716052666306496
wc2.1_2.5m_bio_14,8.719999999999999,0.022377774119377136
wc2.1_2.5m_bio_14,9.079999999999998,0.0230594202876091
wc2.1_2.5m_bio_14,9.440000000000001,0.023761576041579247
wc2.1_2.5m_bio_14,9.8,0.01645873300731182
wc2.1_2.5m_bio_14,10.16,0.01696164719760418
wc2.1_2.5m_bio_14,10.52,0.016542205587029457
wc2.1_2.5m_bio_14,10.879999999999999,0.017047647386789322
wc2.1_2.5m_bio_14,11.239999999999998,0.017568394541740417
wc2.1_2.5m_bio_14,11.600000000000001,0.018104903399944305
wc2.1_2.5m_bio_14,11.96,0.018657639622688293
wc2.1_2.5m_bio_14,12.32,0.019227083772420883
wc2.1_2.5m_bio_14,12.68,0.01981373503804207
wc2.1_2.5m_bio_14,13.04,0.02041809633374214
wc2.1_2.5m_bio_14,13.399999999999999,0.021040692925453186
wc2.1_2.5m_bio_14,13.760000000000002,0.02168206498026848
wc2.1_2.5m_bio_14,14.120000000000001,0.022342761978507042
wc2.1_2.5m_bio_14,14.48,0.023023352026939392
wc2.1_2.5m_bio_14,14.84,0.023724425584077835
wc2.1_2.5m_bio_14,15.2,0.024446576833724976
wc2.1_2.5m_bio_14,15.559999999999999,0.025190426036715508
wc2.1_2.5m_bio_14,15.920000000000002,0.02595660462975502
wc2.1_2.5m_bio_14,16.28,0.026745766401290894
wc2.1_2.5m_bio_14,16.64,0.027558578178286552
wc2.1_2.5m_bio_14,17.0,0.02839573100209236
wc2.1_2.5m_bio_14,17.36,0.02925793267786503
wc2.1_2.5m_bio_14,17.72,0.030145898461341858
wc2.1_2.5m_bio_14,18.08,0.031060386449098587
wc2.1_2.5m_bio_14,18.44,0.03200215473771095
wc2.1_2.5m_bio_14,18.8,0.03297198563814163
wc2.1_2.5m_bio_14,19.16,0.03397069126367569
wc2.1_2.5m_bio_14,19.52,0.034999098628759384
wc2.1_2.5m_bio_14,19.88,0.03605804592370987
wc2.1_2.5m_bio_14,20.24,0.03714842349290848
wc2.1_2.5m_bio_14,20.6,0.057888709008693695
wc2.1_2.5m_bio_14,20.96,0.0596185140311718
wc2.1_2.5m_bio_14,21.32,0.06139831617474556
wc2.1_2.5m_bio_14,21.68,0.11654379218816757
wc2.1_2.5m_bio_14,22.04,0.11991117894649506
