order,family,species,scientific_name,country,lat,lon
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.836087,5.35093
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.836087,5.35093
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.880759,5.641362
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.836087,5.35093
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona coerulea (Geoffroy, 1785)",NL,51.836087,5.35093
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona coerulea (Geoffroy, 1785)",NL,51.880759,5.641362
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.880759,5.641362
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.880759,5.641362
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.880759,5.641362
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.880759,5.641362
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.880759,5.641362
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.880759,5.641362
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.880759,5.641362
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.880759,5.641362
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.880759,5.641362
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.880759,5.641362
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.880759,5.641362
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.879412,6.004432
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.879412,6.004432
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.879412,6.004432
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.879412,6.004432
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.879412,6.004432
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.836043,5.278385
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,51.163376,6.865208
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,51.163376,6.865208
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,48.032902,7.80141
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,50.7645,6.87767
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,51.667301,6.80458
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,49.041199,8.04838
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,50.7645,6.87767
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,51.048,6.85712
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,51.048,6.85712
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,50.731998,6.95494
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,52.5,13.49
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,52.49,13.47
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,52.09,14.02
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,52.48,13.48
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,52.48,13.48
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,52.48,13.47
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,52.48,13.47
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,52.48,13.47
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,50.32,11.58
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",HR,45.48,18.12
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,54.23,13.35
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,54.23,13.35
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,54.16,13.41
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,54.15,13.55
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",ZZ,47.29,9.34
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,49.53,9.23
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,49.46,7.41
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,50.4,7.04
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,49.01,8.1
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",NL,51.48,6.22
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,51.05,6.5
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,51.56,8.33
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,52.22,8.37
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,52.22,8.37
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,52.1,8.31
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,52.04,8.28
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,51.5,12.13
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,53.02,13.23
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,53.54,10.44
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,53.01,11.27
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,53.04,11.28
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,53.03,11.29
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,53.04,11.28
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,53.01,11.28
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,53.07,10.52
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",HU,47.73,21.1
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,50.05,9.02
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,49.58,9.1
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,49.58,9.1
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,49.58,9.1
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,51.1,7.05
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,49,8.24
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",ZZ,47.31,9.46
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",CH,47.55,9.45
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",CH,47.56,8.4
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,48.48,11.46
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",PL,49.13,19.58
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",CH,47.4,9.1
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,49.01,8.3
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,49.1,8.15
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,49.03,8.22
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,49.1,8.15
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,48.59,8.19
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,48.45,8.03
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",CH,47.56,8.4
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",FR,49.39,6.33
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",FR,49.32,6.22
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",FR,49.4,6.26
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,49.5,7.45
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,50.47,7.04
Coleoptera,Chrysomelidae,Aphthona nonstriata,"Aphthona nonstriata (Goeze, 1777)",DE,49.47,7.43
