X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,3.495140882938795E-4,17.500504485132968,0.6130521012931746
2.0,2.0,train,3.399106876961166E-4,15.633187311900592,0.602824609276079
3.0,3.0,train,3.407901050648884E-4,15.836546495426562,0.6037723141040747
4.0,4.0,train,3.1826943512157374E-4,12.022970750897406,0.578775027380697
5.0,5.0,train,3.50523500405988E-4,17.84936194480885,0.6141116967258523
6.0,6.0,train,3.5459799384302655E-4,19.52163468361182,0.6183593429728116
7.0,7.0,train,3.8857198340012613E-4,35.047335813621025,0.6520049891309458
8.0,8.0,train,4.190104195643304E-4,53.043724306999984,0.6796220980232022
9.0,9.0,train,4.350578850715238E-4,77.24893234392303,0.6932884178427772
10.0,10.0,train,3.6727889013004234E-4,25.70078751802883,0.6312822476656035
11.0,11.0,train,3.1718547016138286E-4,11.94543692562807,0.5775328508940862
12.0,12.0,train,3.6561020006452315E-4,25.14731568627286,0.6296070393718243
13.0,13.0,train,4.3574818379365447E-4,78.26741161235998,0.6938630295729811
14.0,14.0,train,4.144361994889809E-4,47.251136253194986,0.6756162446280384
15.0,15.0,train,4.1994690074262576E-4,54.78168213688511,0.6804360966677696
16.0,16.0,train,4.322769565341462E-4,73.65410486492061,0.690962599201033
17.0,17.0,train,4.277046585299763E-4,66.52451915999104,0.6871001758237288
18.0,18.0,train,4.139826803510207E-4,46.81722405589309,0.6752163582185526
19.0,19.0,train,4.3479399714553237E-4,76.71352078448837,0.6930684699803163
20.0,20.0,train,4.2679725036978423E-4,65.06289926553231,0.6863279261136346
21.0,21.0,train,4.3068568740973134E-4,71.0415614446127,0.6896238227586761
22.0,22.0,train,4.278488300097534E-4,66.66109683220779,0.6872226978045265
23.0,23.0,train,4.306806065312517E-4,71.03241727621723,0.6896195388070205
24.0,24.0,train,3.6793281341518266E-4,26.177916273264433,0.6319366570860243
25.0,25.0,train,3.048598362241721E-4,10.575339749220426,0.5631479259062022
26.0,26.0,train,4.262954450536526E-4,64.26244295097884,0.6859000465625436
27.0,27.0,train,3.677108965922851E-4,26.00206064763418,0.6317147055877559
28.0,28.0,train,3.563217126222699E-4,20.582663269370812,0.6201422102829474
29.0,29.0,train,3.595014101274626E-4,22.18676309547994,0.6234091935323138
30.0,30.0,train,4.2337489275180896E-4,59.82204899987326,0.683398139513723
31.0,31.0,train,3.5969249824101946E-4,22.32473484299589,0.6236046297492577
32.0,32.0,train,3.5457925696510544E-4,19.505139901405283,0.6183399172453683
33.0,33.0,train,2.1845623430378746E-4,5.52058285801083,0.44757783732140133
34.0,34.0,train,3.0817021448090545E-4,11.07032556109035,0.5670588115210685
35.0,35.0,train,3.751119134042966E-4,28.93694249239416,0.6390451735008935
36.0,36.0,train,3.7546802619516746E-4,29.067095694107945,0.6393941890319006
37.0,37.0,train,3.740737179726441E-4,28.5214967894627,0.6380257399918062
38.0,38.0,train,2.8335685183798954E-4,8.181784467327882,0.5368698484879357
39.0,39.0,train,3.246398704130515E-4,13.27209070336915,0.5860018131235523
40.0,40.0,train,4.0392218008660353E-4,40.332214553401904,0.6662177328318184
41.0,41.0,train,3.1423559528392025E-4,11.687211048050417,0.5741338430264775
42.0,42.0,train,3.5688079195342836E-4,20.752587489200288,0.6207186834515745
43.0,43.0,train,4.294936441696608E-4,68.86164742121595,0.6886171272623915
44.0,44.0,train,3.7628400819675556E-4,29.280620893598876,0.6401926366478414
45.0,45.0,train,3.113946018849815E-4,11.352872798625933,0.5708344452916505
46.0,46.0,train,3.422090627002658E-4,16.2008526306281,0.6052966892809284
47.0,47.0,train,3.1991641786911697E-4,12.305332324892905,0.5806554105949497
48.0,48.0,train,3.6799191110116215E-4,26.224748908959846,0.63199574144908
49.0,49.0,train,3.570431840426298E-4,20.83107140775284,0.6208859637928279
50.0,50.0,train,3.630755725621339E-4,24.033740721881,0.6270479394431494
51.0,51.0,train,3.656829397360066E-4,25.174576514218142,0.6296802215831608
52.0,52.0,train,3.6306706281527686E-4,24.027235167280853,0.6270393178197573
53.0,53.0,train,3.670492282394852E-4,25.564471153397363,0.6310521390703849
54.0,54.0,train,9.794885349780554E-5,2.019418766278334,0.23362289008890635
55.0,55.0,train,3.5817375186556307E-4,21.278648327905692,0.6220485204426538
56.0,56.0,train,2.926488865606134E-4,9.316716829954691,0.5484139074790597
57.0,57.0,train,3.0662263512141856E-4,10.89981023084174,0.5652348762299328
58.0,58.0,train,3.41829157968144E-4,16.08163474406776,0.6048891363987826
59.0,59.0,train,3.840658342273537E-4,33.57136229938697,0.6477189731304083
60.0,60.0,train,3.3337017979957853E-4,14.258946758562272,0.5957047394418592
61.0,61.0,train,2.9974775444575067E-4,9.909783499372365,0.5570389894130094
62.0,62.0,train,2.9782936503704107E-4,9.77002817148907,0.5547245342610899
63.0,63.0,train,2.7897116021345034E-4,7.90629129294598,0.5313191817382534
64.0,64.0,train,3.2057510814609264E-4,12.436197348620643,0.5814050944846615
65.0,65.0,train,3.5355264444869914E-4,18.95959852878748,0.6172740493107248
66.0,66.0,train,3.499029989159263E-4,17.626511156670876,0.6134606908673451
67.0,67.0,train,3.5481879380816906E-4,19.751999300609075,0.6185881860458731
68.0,68.0,train,2.2730789050074443E-4,5.755064122353689,0.46070282773536675
69.0,69.0,train,3.465638650532499E-4,16.942486153326527,0.6099384984954319
70.0,70.0,train,4.191619208121987E-4,53.398146979899046,0.6797539248425566
71.0,71.0,train,4.156062979824265E-4,48.79497358091689,0.676645696033553
72.0,72.0,train,4.191079204533126E-4,53.30043676631599,0.6797069433626576
73.0,73.0,train,4.038845951698377E-4,40.3188934439425,0.6661836517477691
74.0,74.0,train,3.67469964198914E-4,25.82253195519748,0.6314735840084296
75.0,75.0,train,4.2533822665224535E-4,62.651472891834366,0.6850822259357484
76.0,76.0,train,1.0592205992234105E-4,2.19380034757936,0.25004372023651755
